iter	Passed	Remaining
658	3231	1700
659	3236	1695
660	3243	1691
661	3247	1686
662	3252	1681
663	3257	1676
664	3263	1671
665	3273	1669
666	3277	1663
667	3283	1659
668	3292	1656
669	3297	1651
670	3308	1649
671	3311	1643
672	3318	1639
673	3324	1634
674	3327	1628
675	3330	1622
676	3338	1619
677	3344	1614
678	3351	1610
679	3357	1605
680	3361	1600
681	3361	1600
682	3365	1590
683	3368	1584
684	3368	1584
685	3373	1573
686	3386	1572
687	3398	1570
688	3405	1566
689	3417	1564
690	3421	1559
691	3428	1555
692	3434	1550
693	3439	1545
694	3449	1542
695	3453	1537
696	3462	1533
697	3469	1529
698	3469	1529
699	3479	1521
700	3485	1517
701	3489	1511
702	3496	1507
703	3503	1502
704	3505	1496
705	3505	1496
706	3512	1487
707	3518	1482
708	3525	1478
709	3535	1475
710	3539	1469
711	3544	1464
712	3553	1461
713	3558	1455
714	3570	1453
715	3573	1447
716	3579	1443
717	3589	1439
718	3598	1436
719	3604	1431
720	3608	1425
721	3618	1423
722	3622	1417
723	3632	1413
724	3637	1408
725	3646	1405
726	3652	1400
727	3659	1396
728	3668	1392
729	3676	1388
730	3684	1384
731	3688	1378
732	3696	1374
733	3701	1369
734	3705	1363
735	3716	1360
736	3720	1355
737	3732	1352
738	3740	1348
739	3748	1344
740	3759	1341
741	3759	1341
742	3765	1330
743	3765	1330
744	3772	1321
745	3781	1317
746	3789	1313
747	3796	1308
748	3806	1305
749	3815	1301
750	3828	1298
751	3833	1293
752	3846	1291
753	3853	1286
754	3859	1281
755	3862	1275
756	3873	1271
757	3879	1266
758	3889	1263
759	3895	1258
760	3902	1253
761	3902	1253
762	3910	1243
763	3918	1239
764	3922	1233
765	3922	1233
766	3931	1224
767	3935	1219
768	3939	1213
769	3947	1208
770	3954	1204
771	3961	1199
772	3969	1195
773	3972	1189
774	3979	1184
775	3983	1178
776	3987	1173
777	3995	1168
778	4000	1163
779	4008	1158
780	4014	1153
781	4018	1148
782	4025	1143
783	4031	1138
784	4035	1132
785	4049	1129
786	4049	1129
787	4056	1119
788	4063	1114
789	4070	1110
790	4070	1110
791	4078	1100
792	4081	1094
793	4087	1089
794	4094	1084
795	4099	1079
796	4110	1075
797	4116	1070
798	4123	1065
799	4127	1059
800	4137	1055
801	4141	1049
802	4152	1046
803	4168	1043
804	4179	1039
805	4184	1034
806	4192	1029
807	4199	1024
808	4206	1019
809	4216	1015
810	4223	1010
811	4228	1005
812	4233	999
813	4238	994
814	4243	988
815	4248	983
816	4252	977
817	4256	972
818	4261	966
819	4268	961
820	4272	955
821	4278	950
822	4278	950
823	4278	950
824	4288	935
825	4292	930
826	4299	925
827	4306	920
828	4310	914
829	4314	908
830	4319	903
831	4322	897
832	4326	891
833	4329	886
834	4334	880
835	4338	875
836	4342	869
837	4345	863
838	4351	858
839	4355	852
840	4358	847
841	4365	842
842	4370	836
843	4375	831
844	4378	825
